Accession	Description	Coverage.in.Percent	Number.of.Peptides	Number.of.PSMs	Number.of.Unique.Peptides	log2FC_t3	log2FC_t6	log2FC_t12	log2FC_t24	log2FC_t48	Abundance.Ratio.3..0	Abundance.Ratio.6..0	Abundance.Ratio.12..0	Abundance.Ratio.24..0	Abundance.Ratio.48..0	Abundance.Ratio.log2.3..0	Abundance.Ratio.log2.6..0	Abundance.Ratio.log2.12..0	Abundance.Ratio.log2.24..0	Abundance.Ratio.log2.48..0	Abundance.Ratio.P.Value.3..0	Abundance.Ratio.P.Value.6..0	Abundance.Ratio.P.Value.12..0	Abundance.Ratio.P.Value.24..0	Abundance.Ratio.P.Value.48..0	Abundance.Ratio.Adj.P.Value.3..0	Abundance.Ratio.Adj.P.Value.6..0	Abundance.Ratio.Adj.P.Value.12..0	Abundance.Ratio.Adj.P.Value.24..0	Abundance.Ratio.Adj.P.Value.48..0	Abundance.Ratio.Variability.in.Percent.3..0	Abundance.Ratio.Variability.in.Percent.6..0	Abundance.Ratio.Variability.in.Percent.12..0	Abundance.Ratio.Variability.in.Percent.24..0	Abundance.Ratio.Variability.in.Percent.48..0	Biological.Process	Cellular.Component	Molecular.Function	Pfam.IDs	Entrez.Gene.ID	Ensembl.Gene.ID	Gene.Symbol	Chromosome	KEGG.Pathways	Reactome.Pathways	WikiPathways	Number.of.Protein.Pathway.Groups	Number.of.AAs	MW.in.kDa	calc.pI	Score.Sequest.HT.Sequest.HT	Modifications
P61626	Lysozyme C|LYZ	35	4	15	4	-0.09696173	-0.241270432	-0.526992432	-0.749038426	-0.788364747	0.935	0.846	0.694	0.595	0.579	-0.1	-0.24	-0.53	-0.75	-0.79	0.12568737	0.070118735	0.010111164	0.038825932	0.014489853	0.910937563	0.600597335	0.302593431	0.209984949	0.153324116	1.72	0.41	9.28	18.18	3	defense response;metabolic process;response to stimulus;transport	extracellular;organelle lumen	catalytic activity;protein binding	Pf00062	4069	ENSG00000090382.6	LYZ	12	Salivary secretion	Antimicrobial peptides; Neutrophil degranulation; Amyloid fiber formation		7	148	16.5	9.16	43.8	
Q9H8V3	Protein ECT2|ECT2	19	14	40	14	-0.10159814	-0.217591435	-0.321928095	-0.473931188	-0.531156057	0.932	0.86	0.8	0.72	0.692	-0.1	-0.22	-0.32	-0.47	-0.53	0.044856766	0.002370012	0.00258748	0.002906078	0.010190077	0.910937563	0.418936819	0.262385283	0.133724772	0.147887136	3.81	0.2	1.05	1.96	6.46	cell differentiation;cell division;cell organization and biogenesis;regulation of biological process;response to stimulus;transport	cytoplasm;cytoskeleton;cytosol;nucleus	enzyme regulator activity;protein binding;signal transducer activity	"Pf00533, Pf00621, Pf12738"	1894	ENSG00000114346.13	ECT2	3		G alpha (12/13) signalling events; NRAGE signals death through JNK; Signalling by NGF; Rho GTPase cycle	Gastric Cancer Network 1	12	914	103.4	7.71	138.13	
P13498	Cytochrome b-245 light chain|CYBA	36	5	56	5	0.012926174	0.014355293	-0.375197235	-0.77349147	-0.810966176	1.009	1.01	0.771	0.585	0.57	0.01	0.01	-0.38	-0.77	-0.81	0.769722846	0.128789057	0.02268953	0.004206011	0.010633491	0.967912928	0.622425306	0.33630317	0.134138874	0.149547898	6.55	0.34	0.83	3.38	1.68	cell organization and biogenesis;cellular homeostasis;defense response;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;endosome;Golgi;membrane;mitochondrion;nucleus	catalytic activity;metal ion binding;protein binding	Pf05038	1535	ENSG00000051523.10	CYBA	16	NOD-like receptor signaling pathway; Osteoclast differentiation; Leishmaniasis; Phagosome; Leukocyte transendothelial migration	"ROS, RNS production in phagocytes; Neutrophil degranulation; Cross-presentation of particulate exogenous antigens (phagosomes); VEGFA-VEGFR2 Pathway; Detoxification of Reactive Oxygen Species; RHO GTPases Activate NADPH Oxidases"	TNF alpha Signaling Pathway; Microglia Pathogen Phagocytosis Pathway; Oxidative Stress	26	195	21	9.54	187.78	
P31431	Syndecan-4|SDC4	20	3	14	3	-0.092340172	-0.256700472	-0.736965594	-1.194294815	-1.164884385	0.938	0.837	0.6	0.437	0.446	-0.09	-0.26	-0.74	-1.19	-1.17	0.50085363	0.041019833	0.024445024	0.019393673	0.024848755	0.914443182	0.561465265	0.344098722	0.175858628	0.167313778	2.99	6.8	16.26	28.69	15.69	cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus	cell surface;extracellular;membrane;organelle lumen	protein binding;receptor activity;signal transducer activity	Pf01034	6385	ENSG00000124145.6	SDC4	20	Cell adhesion molecules (CAMs); Proteoglycans in cancer; ECM-receptor interaction	"Defective B4GALT7 causes EDS, progeroid type; Retinoid metabolism and transport; Defective EXT2 causes exostoses 2; Syndecan interactions; Defective EXT1 causes exostoses 1, TRPS2 and CHDS; Signaling by GPCR; HS-GAG biosynthesis; A tetrasaccharide linker sequence is required for GAG synthesis; Cell surface interactions at the vascular wall; Defective B3GALT6 causes EDSP2 and SEMDJL1; HS-GAG degradation; Defective B3GAT3 causes JDSSDHD"		30	198	21.6	4.5	49.32	
Q9NRX4	14 kDa phosphohistidine phosphatase|PHPT1	67	9	35	9	-0.103146927	-0.074000581	-0.092340172	-0.55851652	-0.49410907	0.931	0.95	0.938	0.679	0.71	-0.1	-0.07	-0.09	-0.56	-0.49	0.180884024	0.052038202	0.165459669	0.04447359	0.018096907	0.910937563	0.578217433	0.513546324	0.219071733	0.159823381	8.9	1.52	3.96	12.45	6.1	metabolic process;regulation of biological process	cytoplasm;cytosol	catalytic activity;protein binding	Pf05005	29085	ENSG00000054148.17	PHPT1	9				0	125	13.8	6.07	110.26	
Q96CP7	TLC domain-containing protein 1|TLCD1	7	2	11	2	0.007195501	-0.002888279	0.210388864	0.884402553	1.634593268	1.005	0.998	1.157	1.846	3.105	0.01	0	0.21	0.88	1.63	0.655656036	0.78319425	0.09456767	0.031313485	0.03644794	0.941487482	0.933029474	0.456453223	0.197267919	0.187793986	9.94	8.81	5	16.33	8.8		membrane		Pf03798	116238	ENSG00000160606.10	TLCD1	17				0	247	28.5	9.47	27.49	
P63313	Thymosin beta-10|TMSB10	48	7	169	5	0.112366523	-0.144010303	-0.220950447	-0.756330919	-0.946193556	1.081	0.905	0.858	0.592	0.519	0.11	-0.14	-0.22	-0.76	-0.95	0.16249215	0.244622748	0.016540887	0.120355825	0.011413264	0.910937563	0.706660456	0.324298858	0.313719777	0.149547898	4.88	12.98	1.41	16.39	9.8	cell organization and biogenesis	cytoplasm;cytoskeleton	protein binding		9168	ENSG00000034510.5	TMSB10	2				0	44	5	5.36	442.41	
O43291	Kunitz-type protease inhibitor 2|SPINT2	33	6	42	6	-0.020340448	-0.189351252	-0.524915117	-1.380821784	-1.261880711	0.986	0.877	0.695	0.384	0.417	-0.02	-0.19	-0.53	-1.38	-1.26	0.765263242	0.011016536	0.013550455	0.008628248	0.010291909	0.966080583	0.519068032	0.314576761	0.160658718	0.148130896	1.49	3.2	0.85	10.54	1.69	cell organization and biogenesis;cellular component movement;regulation of biological process;response to stimulus	cytoplasm;extracellular;membrane	enzyme regulator activity	Pf00014	10653	ENSG00000167642.12	SPINT2	19		MET Receptor Activation; Signaling by MST1		5	252	28.2	8.29	162.48	
Q6FIF0	AN1-type zinc finger protein 6|ZFAND6	22	3	17	3	-0.052894948	-0.18606493	-0.320125852	-0.612637459	-0.798366139	0.964	0.879	0.801	0.654	0.575	-0.05	-0.19	-0.32	-0.61	-0.8	0.290211451	0.05857293	0.047742677	0.012325101	0.003780039	0.910937563	0.590700481	0.385231005	0.164402784	0.129491316	5.6	6.94	9.14	8.03	1.85	cell death;cell organization and biogenesis;regulation of biological process;response to stimulus;transport	cytoplasm	DNA binding;metal ion binding;protein binding	"Pf01428, Pf01754"	54469	ENSG00000086666.18	ZFAND6	15				0	208	22.5	7.2	73.58	
P13726	Tissue factor|F3	16	6	54	6	-0.001443417	0.018634174	-0.351074441	-0.351074441	-0.545824107	0.999	1.013	0.784	0.784	0.685	0	0.02	-0.35	-0.35	-0.55	0.419812553	0.603727606	0.000561148	0.008672791	0.006324778	0.910937563	0.86588844	0.213760054	0.160658718	0.14104879	0.19	5.54	1.32	4.47	2.42	coagulation;metabolic process;regulation of biological process;response to stimulus	cell surface;extracellular;membrane	catalytic activity;protein binding;receptor activity;signal transducer activity	"Pf01108, Pf09294"	2152	ENSG00000117525.13	F3	1	AGE-RAGE signaling pathway in diabetic complications; Complement and coagulation cascades	Extrinsic Pathway of Fibrin Clot Formation	VEGFA-VEGFR2 Signaling Pathway; Complement and Coagulation Cascades	7	295	33	7.03	192.48	
O95235	Kinesin-like protein KIF20A|KIF20A	20	13	30	13	-0.002888279	-0.134477041	-0.377069649	-0.573466862	-0.53951953	0.998	0.911	0.77	0.672	0.688	0	-0.14	-0.38	-0.57	-0.54	0.549895224	0.079599642	0.011652063	0.017750061	0.003545968	0.917719328	0.609384772	0.307882403	0.170973644	0.129491316	1.29	6.4	6.53	2.17	4.98	cell organization and biogenesis;cellular component movement;transport	cytoplasm;cytoskeleton;Golgi	catalytic activity;motor activity;nucleotide binding;protein binding;transporter activity	Pf00225	10112	ENSG00000112984.11	KIF20A	5		COPI-dependent Golgi-to-ER retrograde traffic; Kinesins; MHC class II antigen presentation; Mitotic Telophase/Cytokinesis		15	890	100.2	6.92	114.15	
Q9H3K2	Growth hormone-inducible transmembrane protein|GHITM	10	4	18	4	0.004321606	-0.01449957	-0.19759996	-0.394031641	-0.49410907	1.003	0.99	0.872	0.761	0.71	0	-0.01	-0.2	-0.39	-0.49	0.789287378	0.290518863	0.037235936	0.000385553	0.008608614	0.968893202	0.732902774	0.373330757	0.129711934	0.145436775	4.59	0.24	1.91	1.08	3.15	cell death	membrane;mitochondrion	protein binding		27069	ENSG00000165678.20	GHITM	10				0	345	37.2	9.94	72.7	
O00244	Copper transport protein ATOX1|ATOX1	81	6	65	6	-0.002888279	0.025737561	-0.074000581	-0.364013496	-0.75389599	0.998	1.018	0.95	0.777	0.593	0	0.03	-0.07	-0.36	-0.75	0.841873927	0.919297597	0.072209826	0.002445093	0.037999557	0.976661799	0.974029629	0.426443103	0.129711934	0.189699632	5.46	2.16	0.13	2.88	5.3	cellular homeostasis;response to stimulus;transport	cytosol	metal ion binding;protein binding;transporter activity	Pf00403	475	ENSG00000177556.11	ATOX1	5	Mineral absorption	Ion influx/efflux at host-pathogen interface; Detoxification of Reactive Oxygen Species	Copper homeostasis	9	68	7.4	7.24	206.26	Met-loss [N-Term]
Q92896	Golgi apparatus protein 1|GLG1	31	33	131	32	0.004321606	-0.040971781	-0.114035243	-0.508403406	-0.49410907	1.003	0.972	0.924	0.703	0.71	0	-0.04	-0.11	-0.51	-0.49	0.735072578	0.046315272	0.038664241	0.011138365	0.004988453	0.956998431	0.568397143	0.373330757	0.164402784	0.13770058	3.91	0.3	0.2	0.77	0.12	cellular component movement;regulation of biological process	Golgi;membrane	protein binding	Pf00839	2734	ENSG00000090863.11	GLG1	16	Cell adhesion molecules (CAMs)	Cell surface interactions at the vascular wall		3	1179	134.5	6.9	464.5	
Q8NFQ8	Torsin-1A-interacting protein 2|TOR1AIP2	33	10	45	9	0.046840254	-0.010134377	-0.100051014	-0.181149439	-0.50021788	1.033	0.993	0.933	0.882	0.707	0.05	-0.01	-0.1	-0.18	-0.5	0.786782252	0.774417631	0.391424411	0.198593305	0.007149493	0.968647718	0.928814229	0.673642053	0.398968873	0.142839862	0.39	8.78	15.54	10.67	1.71	cell organization and biogenesis;regulation of biological process	endoplasmic reticulum;membrane;nucleus	enzyme regulator activity;protein binding	Pf05609	163590	ENSG00000169905.12	TOR1AIP2	1				0	470	51.2	4.96	176.83	
Q15004	PCNA-associated factor|PCLAF	67	5	8	5	0.171206827	0.291603558	-0.268816758	-0.650634722	-0.800877358	1.126	1.224	0.83	0.637	0.574	0.17	0.29	-0.27	-0.65	-0.8	0.077341393	0.029692335	0.314554356	0.044473785	0.090762184	0.910937563	0.561465265	0.627692608	0.219071733	0.257760993	5.52	4.37	15.87	4.73	13.01	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	cytoplasm;nucleus	protein binding		9768	ENSG00000259316.10; ENSG00000166803.11	PCLAF	15		Termination of translesion DNA synthesis		4	111	12	9.83	30.29	
Q9C010	cAMP-dependent protein kinase inhibitor beta|PKIB	54	4	32	3	-0.033569533	-0.09696173	-0.388355457	-0.805912948	-1.049904906	0.977	0.935	0.764	0.572	0.483	-0.03	-0.1	-0.39	-0.81	-1.05	0.245806632	0.184514914	0.041091081	0.005505334	0.02844979	0.910937563	0.667395962	0.373330757	0.148384323	0.173467913	2.1	6.72	0.49	5.66	18.46	regulation of biological process	cytoplasm;nucleus	enzyme regulator activity	Pf02827	5570	ENSG00000135549.14	PKIB	6			Myometrial Relaxation and Contraction Pathways; Calcium Regulation in the Cardiac Cell	2	78	8.5	4.88	107.66	
O14867	Transcription regulator protein BACH1|BACH1	7	4	9	4	-0.110915901	-0.307572802	-0.332789088	-0.506352666	-0.691988685	0.926	0.808	0.794	0.704	0.619	-0.11	-0.31	-0.33	-0.51	-0.69	0.107680284	0.120030355	0.007206879	0.000880694	0.029203015	0.910937563	0.622425306	0.302593431	0.129711934	0.17438629	2.32	0.59	1.34	0.95	17.66	metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;nucleus	catalytic activity;DNA binding;protein binding	"Pf00170, Pf00651, Pf03131, Pf07716"	571	ENSG00000156273.15	BACH1	21			Integrated Cancer pathway	1	736	81.9	5.05	31.9	
Q9BXS6	Nucleolar and spindle-associated protein 1|NUSAP1	14	6	9	6	-0.104697379	-0.145605322	-0.395928676	-0.543719518	-0.479954976	0.93	0.904	0.76	0.686	0.717	-0.1	-0.15	-0.4	-0.54	-0.48	0.065937265	0.182297974	0.043512501	0.101122102	0.050324835	0.910937563	0.667395962	0.377635853	0.293666173	0.209894968	3.07	7.44	9.89	17.76	0.43	cell division;cell organization and biogenesis;metabolic process;regulation of biological process	chromosome;cytoplasm;cytoskeleton;nucleus	DNA binding;protein binding;RNA binding		51203	ENSG00000137804.12	NUSAP1	15				0	441	49.4	9.91	27.11	
