Protein.Accessions	gene_id	gene_version	gene_name	gene_biotype	gene_source	location	baseMean_3h	log2FoldChange_3h	lfcSE_3h	pvalue_3h	padj_3h	significant_3h	rank_log2_fold_change_3h	rank_base_mean_3h	rank_padj_3h	max_rank_3h	baseMean_6h	log2FoldChange_6h	lfcSE_6h	pvalue_6h	padj_6h	significant_6h	rank_log2_fold_change_6h	rank_base_mean_6h	rank_padj_6h	max_rank_6h	baseMean_12h	log2FoldChange_12h	lfcSE_12h	pvalue_12h	padj_12h	significant_12h	rank_log2_fold_change_12h	rank_base_mean_12h	rank_padj_12h	max_rank_12h	baseMean_24h	log2FoldChange_24h	lfcSE_24h	pvalue_24h	padj_24h	significant_24h	rank_log2_fold_change_24h	rank_base_mean_24h	rank_padj_24h	max_rank_24h	baseMean_48h	log2FoldChange_48h	lfcSE_48h	pvalue_48h	padj_48h	significant_48h	rank_log2_fold_change_48h	rank_base_mean_48h	rank_padj_48h	max_rank_48h
P31270	ENSG00000005073	6	HOXA11	protein_coding	ensembl_havana	chr7:27181157-27185232:-	4.149138502	-0.105497058	0.387626406	0.576827536	0.587151271	no	16724	17365	16719	17365	4.149138502	0.7238242	0.516764123	0.021794252	0.022309794	yes	4012	17365	10506	17365	4.149138502	0.854459436	0.553202761	0.006824486	0.009005578	yes	2310	17365	9300	17365	4.149138502	0.344242303	0.684990044	0.372502124	0.373912078	no	13835	17365	14770	17365	4.149138502	1.59871488	0.700427894	0.000699304	0.001129568	yes	1422	17365	8175	17365
Q9UPZ6	ENSG00000005108	16	THSD7A	protein_coding	ensembl_havana	chr7:11370365-11832198:-	195.3981224	-0.070510126	0.095176328	0.435542572	0.570014298	no	19140	7688	16551	19140	195.3981224	0.082271823	0.096788661	0.379950637	0.537511622	no	20334	7688	18215	20334	195.3981224	1.005897838	0.093395351	1.49E-28	3.94E-27	yes	1593	7688	1615	7688	195.3981224	1.835612191	0.12331552	6.09E-52	2.09E-50	yes	904	7688	1035	7688	195.3981224	0.485865795	0.146769891	0.000751511	0.002288241	yes	11303	7688	8539	11303
Q53FZ2	ENSG00000005187	12	ACSM3	protein_coding	ensembl_havana	chr16:20610243-20797581:+	299.5464191	-0.518347614	0.074054298	5.04E-13	4.92E-12	yes	4219	6085	2680	6085	299.5464191	-0.777097463	0.075428675	1.23E-25	2.59E-24	yes	3548	6085	2175	6085	299.5464191	-2.203442401	0.086185906	9.95E-147	3.27E-144	yes	126	6085	117	6085	299.5464191	-1.503242617	0.149373729	5.22E-25	8.25E-24	yes	1535	6085	2100	6085	299.5464191	-1.112513393	0.119790167	5.12E-21	6.21E-20	yes	3613	6085	2929	6085
Q96IC2	ENSG00000005189	19	REXO5	protein_coding	ensembl_havana	chr16:20806429-20849668:+	33.43020484	-0.572228436	0.151080634	2.45E-05	7.67E-05	yes	3633	12620	5680	12620	33.43020484	-1.07477958	0.165457163	6.04E-12	2.20E-11	yes	1740	12620	4235	12620	33.43020484	-1.745988354	0.188073012	3.02E-22	2.72E-21	yes	325	12620	2139	12620	33.43020484	-0.099497846	0.2668405	0.689952915	0.639333677	no	22339	12620	17699	22339	33.43020484	-1.017348277	0.323898216	0.000571499	0.001047187	yes	4329	12620	8141	12620
P31323	ENSG00000005249	13	PRKAR2B	protein_coding	ensembl_havana	chr7:107044705-107161811:+	14.19836318	0.156949437	0.270679658	0.410198732	0.451795046	no	13884	14400	15230	15230	14.19836318	1.123288772	0.332568099	3.79E-05	7.53E-05	yes	1547	14400	7256	14400	14.19836318	1.499203838	0.336574808	1.16E-07	3.51E-07	yes	549	14400	5235	14400	14.19836318	1.521603009	0.474533256	6.13E-05	0.000168236	yes	1489	14400	6506	14400	14.19836318	1.06096108	0.447713169	0.004653322	0.007199187	yes	3984	14400	9254	14400
Q92793	ENSG00000005339	15	CREBBP	protein_coding	ensembl_havana	chr16:3725054-3880713:-	1708.977826	1.268554005	0.069115578	2.75E-77	2.79E-75	yes	573	1063	256	1063	1708.977826	0.896537434	0.069395626	4.24E-39	1.76E-37	yes	2666	1063	1337	2666	1708.977826	0.533893523	0.06938801	5.64E-15	1.04E-13	yes	5485	1063	3219	5485	1708.977826	2.076463273	0.075564547	1.74E-168	2.31E-166	yes	663	1063	247	1063	1708.977826	1.853368563	0.074397283	2.09E-138	3.49E-136	yes	920	1063	317	1063
Q9H977	ENSG00000005448	17	WDR54	protein_coding	ensembl_havana	chr2:74421678-74425755:+	156.9540345	-0.456342898	0.076399999	5.97E-10	4.41E-09	yes	5034	8481	3472	8481	156.9540345	-0.577933487	0.077887141	4.26E-14	4.30E-13	yes	5727	8481	3765	8481	156.9540345	-0.472765337	0.076546903	3.23E-10	2.84E-09	yes	6564	8481	4368	8481	156.9540345	-1.260445689	0.191530993	7.46E-12	6.57E-11	yes	2415	8481	3769	8481	156.9540345	-1.806414611	0.200194741	7.46E-21	8.83E-20	yes	1004	8481	2948	8481
Q8IZD2	ENSG00000005483	21	KMT2E	protein_coding	ensembl_havana	chr7:105014190-105115019:+	807.2557332	-0.269408303	0.060603638	5.35E-06	2.12E-05	yes	9365	2619	5240	9365	807.2557332	-0.497398992	0.063008789	1.39E-15	1.40E-14	yes	7027	2619	3454	7027	807.2557332	-0.217527271	0.060883049	0.000306423	0.001785402	yes	13512	2619	8153	13512	807.2557332	2.372474291	0.067305606	8.82E-275	5.25E-272	yes	459	2619	117	2619	807.2557332	2.251481047	0.06462237	3.19E-268	2.03E-265	yes	525	2619	85	2619
O75592	ENSG00000005810	18	MYCBP2	protein_coding	ensembl_havana	chr13:77044657-77327094:-	294.1927189	0.288301686	0.081320629	0.000219784	0.000868959	yes	8764	6147	6669	8764	294.1927189	0.033150959	0.083296136	0.683020682	1	no	24047	6147	20364	24047	294.1927189	0.233435706	0.082329188	0.003857376	0.015176826	yes	12925	6147	9776	12925	294.1927189	1.897836813	0.104083931	3.15E-76	1.56E-74	yes	825	6147	671	6147	294.1927189	1.41636527	0.10434297	8.74E-43	2.05E-41	yes	1997	6147	1517	6147
P17010	ENSG00000005889	15	ZFX	protein_coding	ensembl_havana	chrX:24149173-24216255:+	539.5073501	0.779540539	0.057768922	1.85E-42	8.06E-41	yes	1923	3850	677	3850	539.5073501	0.610933559	0.058909757	1.10E-25	2.40E-24	yes	5317	3850	2174	5317	539.5073501	0.043696411	0.061783084	0.474829575	1	no	22500	3850	20400	22500	539.5073501	2.237550288	0.074236536	4.86E-202	1.92E-199	yes	533	3850	176	3850	539.5073501	1.633213358	0.076312281	1.04E-102	7.95E-101	yes	1341	3850	497	3850
P08514	ENSG00000005961	19	ITGA2B	protein_coding	ensembl_havana	chr17:44372180-44389649:-	8.883122725	-0.228029007	0.239219524	0.20862397	0.263499918	no	10806	15447	13280	15447	8.883122725	-0.922859603	0.320044437	0.000389699	0.000623959	yes	2517	15447	8118	15447	8.883122725	-2.292363957	0.472645153	2.24E-09	6.00E-09	yes	107	15447	4485	15447	8.883122725	-0.207833714	0.472848915	0.578033017	0.598659278	no	17677	15447	17245	17677	8.883122725	-0.506220299	0.488342814	0.197578564	0.19872381	no	10893	15447	13643	15447
Q96EN9	ENSG00000006015	17	REX1BD	protein_coding	ensembl_havana	chr19:18588685-18592336:+	34.86341695	-0.095381357	0.144133037	0.458251498	0.511839108	no	17342	12528	15893	17342	34.86341695	-0.287784416	0.157302963	0.04974489	0.06462687	yes	12030	12528	11892	12528	34.86341695	-0.162714837	0.152642742	0.254989415	0.320336319	no	15819	12528	15346	15819	34.86341695	-1.149379202	0.420526552	0.001059177	0.001966879	yes	2907	12528	7529	12528	34.86341695	-1.64096856	0.452748472	1.42E-05	3.66E-05	yes	1319	12528	6899	12528
Q99558	ENSG00000006062	17	MAP3K14	protein_coding	ensembl_havana	chr17:45263119-45317029:-	535.3384751	0.54558095	0.064965702	8.07E-18	1.16E-16	yes	3914	3877	1977	3914	535.3384751	0.210403648	0.066730139	0.001389037	0.006934268	yes	14546	3877	9512	14546	535.3384751	-0.08084509	0.068425644	0.231421213	0.590508634	no	20016	3877	18617	20016	535.3384751	2.794812922	0.073676664	0	0	yes	296	3877	1	3877	535.3384751	1.25692417	0.087893758	5.09E-47	2.01E-45	yes	2711	3877	1374	3877
P78423	ENSG00000006210	7	CX3CL1	protein_coding	ensembl_havana	chr16:57372477-57385044:+	582.1026666	-0.0435147	0.078559216	0.566242276	0.782653985	no	21400	3602	18799	21400	582.1026666	-0.365513857	0.08325768	7.56E-06	5.41E-05	yes	9859	3602	7139	9859	582.1026666	-0.601957499	0.085502954	5.59E-13	9.26E-12	yes	4542	3602	3627	4542	582.1026666	3.074763785	0.08377356	6.20E-298	2.02E-295	yes	229	3602	102	3602	582.1026666	1.933716818	0.089883418	3.16E-104	2.44E-102	yes	812	3602	490	3602
O43497	ENSG00000006283	18	CACNA1G	protein_coding	ensembl_havana	chr17:50560715-50627474:+	3.601031111	-0.238600548	0.512093875	0.168455193	0.223629685	no	10408	17716	12820	17716	3.601031111	-0.156710724	0.517389563	0.537495738	0.36919992	no	16691	17716	16194	17716	3.601031111	-0.011575354	0.460823701	0.959331146	0.585480632	no	28158	17716	18547	28158	3.601031111	0.905436623	0.774669239	0.034606229	0.051901269	yes	4701	17716	10209	17716	3.601031111	2.891847153	1.022698029	3.36E-06	7.14E-06	yes	267	17716	6466	17716
Q6ZMT4	ENSG00000006459	11	KDM7A	protein_coding	ensembl_havana	chr7:140084746-140176983:-	111.6729214	-0.051390341	0.110543419	0.618675888	0.643290967	no	20743	9641	17314	20743	111.6729214	-0.191750219	0.118045918	0.089949647	0.204779787	no	15267	9641	14216	15267	111.6729214	-0.07249385	0.115393947	0.51454912	0.661096881	no	20552	9641	19283	20552	111.6729214	1.478638896	0.160522792	2.32E-21	1.66E-20	yes	1610	9641	2377	9641	111.6729214	1.508293924	0.145759479	4.93E-26	5.12E-25	yes	1673	9641	2443	9641
P50549	ENSG00000006468	14	ETV1	protein_coding	ensembl_havana	chr7:13891229-13991425:-	309.1684358	-0.999966755	0.073252442	9.14E-44	5.21E-42	yes	1095	5946	652	5946	309.1684358	-1.929052569	0.088317655	2.74E-108	4.60E-106	yes	264	5946	272	5946	309.1684358	0.357622445	0.062705111	8.00E-09	7.15E-08	yes	9139	5946	4912	9139	309.1684358	0.797258268	0.100770368	1.35E-15	1.84E-14	yes	5826	5946	3106	5946	309.1684358	1.184066763	0.084335029	2.47E-45	6.09E-44	yes	3122	5946	1423	5946
P43353	ENSG00000006534	16	ALDH3B1	protein_coding	ensembl_havana	chr11:68008578-68029282:+	530.807026	-0.340033018	0.049605109	3.23E-12	3.19E-11	yes	7329	3909	2874	7329	530.807026	-0.878301651	0.052117769	1.29E-64	9.79E-63	yes	2777	3909	675	3909	530.807026	-1.626045631	0.056200543	1.53E-185	1.33E-182	yes	420	3909	69	3909	530.807026	-1.283838664	0.105509243	7.18E-35	3.22E-33	yes	2306	3909	1551	3909	530.807026	-1.012592599	0.086992407	1.03E-31	1.89E-30	yes	4362	3909	2067	4362
Q9Y6N9	ENSG00000006611	16	USH1C	protein_coding	ensembl_havana	chr11:17493895-17544416:-	226.7099934	-0.505385881	0.064620667	1.08E-15	1.33E-14	yes	4370	7135	2237	7135	226.7099934	-0.98222819	0.068260369	5.80E-48	2.66E-46	yes	2165	7135	1019	7135	226.7099934	-1.966835912	0.078164497	9.43E-142	1.85E-139	yes	195	7135	131	7135	226.7099934	-1.557498358	0.163321197	7.61E-23	1.11E-21	yes	1392	7135	2281	7135	226.7099934	-1.349772031	0.133466162	8.75E-25	1.23E-23	yes	2268	7135	2537	7135
Q9Y6U3	ENSG00000006747	15	SCIN	protein_coding	ensembl_havana	chr7:12570577-12660182:+	510.6973436	-0.197404976	0.053966122	0.000196305	0.000772064	yes	12049	4032	6607	12049	510.6973436	-0.443329673	0.055407002	6.85E-16	9.52E-15	yes	8071	4032	3416	8071	510.6973436	-1.84022593	0.062814924	1.96E-190	1.48E-187	yes	270	4032	63	4032	510.6973436	-1.64935405	0.123813133	6.02E-42	1.57E-40	yes	1181	4032	1272	4032	510.6973436	-1.066586223	0.093342387	1.11E-30	2.58E-29	yes	3942	4032	2137	4032
P41247	ENSG00000006757	12	PNPLA4	protein_coding	ensembl_havana	chrX:7898247-7927739:-	87.53546369	-0.166939671	0.090992301	0.054115544	0.096531335	yes	13383	10373	10926	13383	87.53546369	-0.327743613	0.095606956	0.000434705	0.001900603	yes	10862	10373	8701	10862	87.53546369	-0.320620964	0.095046493	0.000536863	0.002059395	yes	10142	10373	8227	10373	87.53546369	-0.977344872	0.241041979	1.70E-05	4.73E-05	yes	4077	10373	6104	10373	87.53546369	-1.709863705	0.274337622	2.43E-11	1.23E-10	yes	1184	10373	4610	10373
O75865	ENSG00000007255	10	TRAPPC6A	protein_coding	ensembl_havana	chr19:45162928-45178237:-	231.7937886	-0.266595034	0.07241488	0.000142007	0.00056447	yes	9464	7068	6452	9464	231.7937886	-0.263037505	0.073177225	0.000262135	0.001438146	yes	12747	7068	8536	12747	231.7937886	-0.821376803	0.077140523	1.47E-27	3.16E-26	yes	2499	7068	1679	7068	231.7937886	-2.748535714	0.261986056	1.17E-28	2.02E-27	yes	314	7068	1841	7068	231.7937886	-2.172967073	0.185371469	7.51E-34	1.36E-32	yes	590	7068	1934	7068
O94812	ENSG00000007516	14	BAIAP3	protein_coding	ensembl_havana	chr16:1333638-1349441:+	71.51290158	-0.582401242	0.109084152	1.47E-08	6.69E-08	yes	3524	10905	3899	10905	71.51290158	-0.93443584	0.113902757	2.51E-17	2.13E-16	yes	2442	10905	3106	10905	71.51290158	-1.518539578	0.122671321	1.06E-36	1.68E-35	yes	521	10905	1130	10905	71.51290158	-2.59490615	0.433714272	3.28E-12	1.61E-11	yes	367	10905	3648	10905	71.51290158	-2.219945051	0.312196206	5.47E-15	2.59E-14	yes	548	10905	3755	10905
P17600	ENSG00000008056	14	SYN1	protein_coding	ensembl_havana	chrX:47571901-47619857:-	10.65538191	-0.070323335	0.268777199	0.70893209	0.679401376	no	19156	15021	17758	19156	10.65538191	-0.048646722	0.301952142	0.838629092	0.64501009	no	22488	15021	19195	22488	10.65538191	0.222520984	0.290311574	0.325476225	0.365161669	no	13338	15021	15935	15935	10.65538191	-0.617907118	0.741846335	0.121511282	0.175062799	no	8245	15021	12399	15021	10.65538191	2.201416008	0.406594554	2.79E-10	9.46E-10	yes	564	15021	4871	15021
O76039	ENSG00000008086	13	CDKL5	protein_coding	ensembl_havana	chrX:18425583-18653629:+	436.4088498	0.423896037	0.077799333	1.52E-08	1.41E-07	yes	5608	4661	4020	5608	436.4088498	0.036656355	0.078546276	0.632658681	1	no	23576	4661	20364	23576	436.4088498	-0.079673313	0.079482655	0.307784854	0.658076315	no	20090	4661	19260	20090	436.4088498	1.6070861	0.096426738	9.69E-64	3.54E-62	yes	1268	4661	835	4661	436.4088498	1.239870708	0.095206167	2.21E-39	5.07E-38	yes	2797	4661	1661	4661
Q3KR16	ENSG00000008323	15	PLEKHG6	protein_coding	ensembl_havana	chr12:6310436-6328506:+	436.1292629	-1.520678254	0.077219908	6.90E-89	8.84E-87	yes	354	4665	212	4665	436.1292629	-1.789211016	0.080546863	1.82E-111	3.18E-109	yes	366	4665	261	4665	436.1292629	-0.750425067	0.071743633	1.70E-26	2.83E-25	yes	3035	4665	1758	4665	436.1292629	0.662138386	0.092560341	5.51E-13	4.75E-12	yes	7587	4665	3546	7587	436.1292629	1.091880794	0.080613994	2.92E-42	6.75E-41	yes	3751	4665	1536	4665
Q8N594	ENSG00000008382	15	MPND	protein_coding	ensembl_havana	chr19:4343527-4360086:+	77.78040883	-0.256662198	0.102988525	0.007906172	0.021376327	yes	9772	10684	8923	10684	77.78040883	-0.104954108	0.102794966	0.290132032	0.45408385	no	19120	10684	17144	19120	77.78040883	-0.036726258	0.101837237	0.710592326	0.718426045	no	23104	10684	19575	23104	77.78040883	-0.691999985	0.239135499	0.002218664	0.005932041	yes	7154	10684	8203	10684	77.78040883	-2.028981274	0.350156198	8.41E-11	4.11E-10	yes	696	10684	4751	10684
Q9NPA2	ENSG00000008516	17	MMP25	protein_coding	ensembl_havana	chr16:3046561-3060726:+	10.20444158	1.725613358	0.350103927	1.97E-09	7.26E-09	yes	247	15122	3528	15122	10.20444158	0.931540046	0.330553735	0.000460167	0.000884979	yes	2456	15122	8300	15122	10.20444158	0.026364711	0.293657433	0.907366582	0.59605185	no	24559	15122	18682	24559	10.20444158	-0.330107466	0.655188393	0.399652808	0.395180236	no	14190	15122	14993	15122	10.20444158	0.302945708	0.499234584	0.444840614	0.39700776	no	15449	15122	16040	16040
P24001	ENSG00000008517	17	IL32	protein_coding	ensembl_havana	chr16:3065297-3082192:+	656.901528	-0.182735955	0.058720839	0.001485463	0.005620747	yes	12671	3206	7785	12671	656.901528	-0.115246165	0.059395757	0.048493411	0.167629162	no	18615	3206	13737	18615	656.901528	-0.320838653	0.06021207	7.29E-08	8.09E-07	yes	10134	3206	5421	10134	656.901528	1.009120542	0.080452161	1.51E-36	3.44E-35	yes	3812	3206	1459	3812	656.901528	1.736174915	0.066673433	1.01E-150	1.69E-148	yes	1132	3206	278	3206
Q13387	ENSG00000008735	14	MAPK8IP2	protein_coding	ensembl_havana	chr22:50600793-50613981:+	61.51162531	0.271246653	0.163055604	0.054550198	0.099799937	yes	9312	11230	10985	11230	61.51162531	0.522752297	0.168991385	0.000823945	0.00250005	yes	6603	11230	8863	11230	61.51162531	1.088833305	0.170444851	4.53E-12	2.40E-11	yes	1311	11230	3740	11230	61.51162531	1.608886215	0.233995874	2.46E-13	1.32E-12	yes	1265	11230	3422	11230	61.51162531	1.053295386	0.234508069	2.42E-06	8.69E-06	yes	4054	11230	6506	11230
O60673	ENSG00000009413	16	REV3L	protein_coding	ensembl_havana	chr6:111299028-111483715:-	414.8410669	0.381172738	0.070255082	2.13E-08	1.87E-07	yes	6428	4848	4075	6428	414.8410669	0.213961359	0.071507015	0.002365022	0.01121013	yes	14414	4848	9880	14414	414.8410669	0.156522733	0.071583665	0.026580198	0.122690243	no	16085	4848	12626	16085	414.8410669	2.002035305	0.088558278	2.73E-115	2.32E-113	yes	723	4848	390	4848	414.8410669	1.639681279	0.087132403	4.22E-80	2.04E-78	yes	1323	4848	721	4848
Q6PHW0	ENSG00000009765	15	IYD	protein_coding	ensembl_havana	chr6:150368892-150405969:+	5.097573161	-0.194333058	0.271499617	0.310985867	0.350414776	no	12158	16807	14211	16807	5.097573161	-0.429016276	0.32195023	0.086964011	0.073915242	yes	8382	16807	12103	16807	5.097573161	-0.484418271	0.324639821	0.045512317	0.05288707	yes	6324	16807	11219	16807	5.097573161	-0.859671629	0.808406047	0.041262698	0.06937987	yes	5145	16807	10624	16807	5.097573161	-1.719718661	1.13426274	0.00144706	0.002419132	yes	1164	16807	8564	16807
Q9NP71	ENSG00000009950	16	MLXIPL	protein_coding	ensembl_havana	chr7:73593194-73624543:-	15.973616	-0.948114998	0.216760856	4.86E-07	1.79E-06	yes	1259	14155	4556	14155	15.973616	-2.007370132	0.270543323	2.45E-16	1.12E-15	yes	232	14155	3235	14155	15.973616	-2.342097103	0.289219101	9.68E-19	6.50E-18	yes	100	14155	2523	14155	15.973616	-1.24315099	0.549285737	0.002387443	0.005250256	yes	2483	14155	8123	14155	15.973616	-0.650017096	0.354053623	0.040624799	0.049360265	yes	8500	14155	11105	14155
Q9Y603	ENSG00000010030	14	ETV7	protein_coding	ensembl_havana	chr6:36354091-36387800:-	85.74449873	-0.260609119	0.202843156	0.113378726	0.163996096	no	9648	10432	12028	12028	85.74449873	-0.695011895	0.244193027	0.000998469	0.003558588	yes	4300	10432	9074	10432	85.74449873	-0.988583804	0.275178717	1.37E-05	5.15E-05	yes	1656	10432	6580	10432	85.74449873	4.207127526	0.201883789	9.32E-99	3.25E-97	yes	106	10432	488	10432	85.74449873	3.141011186	0.220739809	2.01E-50	4.02E-49	yes	219	10432	1264	10432
Q15021	ENSG00000010292	13	NCAPD2	protein_coding	ensembl_havana	chr12:6493356-6531955:+	884.4742869	-0.978139709	0.047262686	2.00E-96	2.71E-94	yes	1153	2385	178	2385	884.4742869	-1.493133541	0.049520634	3.15E-201	1.41E-198	yes	660	2385	78	2385	884.4742869	-1.231895254	0.048495633	6.11E-144	2.30E-141	yes	963	2385	125	2385	884.4742869	-0.558012786	0.072085428	7.33E-15	1.54E-13	yes	9265	2385	3262	9265	884.4742869	-0.458753095	0.064464671	9.29E-13	1.07E-11	yes	11829	2385	4327	11829
P48546	ENSG00000010310	9	GIPR	protein_coding	ensembl_havana	chr19:45668221-45683722:+	34.93169827	-1.677629497	0.184023904	1.75E-22	2.12E-21	yes	265	12522	1465	12522	34.93169827	-1.978673073	0.195452619	9.97E-27	6.98E-26	yes	244	12522	2046	12522	34.93169827	-0.626526591	0.153482605	1.08E-05	3.31E-05	yes	4229	12522	6438	12522	34.93169827	-0.707067993	0.304481888	0.010933624	0.022219463	yes	6952	12522	9211	12522	34.93169827	-0.918176822	0.290910176	0.000677736	0.001229766	yes	5224	12522	8221	12522
